ID,SECTION-NUMBER,SECTION-LENGTH,BRANCH-ORDER,X,Y,Z,HEAD-DIAMETER,NECK-DIAMETER,MAX-DTS,TYPE,AUTO,XYPLANE-ANGLE,SWC-NODE-ID,SWC-NODE-OFFSET,ATTACH-X,ATTACH-Y,ATTACH-Z,SOMA-DISTANCE
2,0,117.244362,N/A,27.701366,57.108749,17.254568,0.385235,0.005000,1.493249,mushroom,yes,14.858266,191,0.684025,26.826788,55.681820,17.698580,92.125061
5,0,117.244362,N/A,12.575953,62.138599,17.567104,0.321023,0.005000,1.492981,thin,yes,2.515793,225,0.000000,13.874464,63.507332,17.650000,109.682861
6,0,117.244362,N/A,26.788067,57.640831,17.933229,0.247698,0.005000,1.491476,thin,yes,-6.608766,191,0.000000,26.531645,55.862968,17.725117,92.505272
7,0,117.244362,N/A,26.324471,55.346523,19.706106,0.307829,0.005000,1.475205,thin,yes,-74.144392,192,0.036333,25.924580,55.700085,17.826740,93.151108
8,0,117.244362,N/A,18.078575,56.175217,17.959976,0.412831,0.005000,1.415042,mushroom,yes,-6.058355,210,0.581286,18.859449,57.464466,17.800001,101.248924
9,0,117.244362,N/A,14.245440,61.977730,18.187029,0.410754,0.172226,1.362954,mushroom,yes,-22.076917,222,0.000000,15.023496,62.697418,17.757158,108.294037
10,0,117.244362,N/A,14.501521,65.105232,17.540884,0.138792,0.005000,1.293553,thin,yes,-7.028563,226,0.000000,13.437375,63.980667,17.350000,110.393562
11,0,117.244362,N/A,55.577114,36.338459,12.185259,0.600426,0.005000,1.271569,mushroom,yes,-7.214077,111,0.000000,55.801552,37.541294,12.030377,54.068256
12,0,117.244362,N/A,58.931034,38.675407,12.968089,0.417005,0.130972,1.257730,mushroom,yes,5.092366,102,0.000000,59.014549,37.464195,13.076281,50.584866
13,0,117.244362,N/A,37.544968,49.174263,14.865680,0.383444,0.005000,1.260496,mushroom,yes,-4.151414,162,0.831094,38.295128,50.314724,14.766600,78.660507
14,0,117.244362,N/A,27.048399,53.961056,17.232929,0.420108,0.005000,1.255596,mushroom,yes,2.997431,189,0.697651,27.784222,55.104359,17.304123,90.938713
15,0,117.244362,N/A,13.857789,63.688175,16.095919,0.383463,0.005000,1.211275,mushroom,yes,70.787065,227,0.987227,13.482262,63.932056,17.380808,110.400284
16,0,117.244362,N/A,15.620307,59.933544,18.337187,0.199923,0.005000,1.216469,thin,yes,0.558726,215,0.000000,16.916859,60.146736,18.350000,104.721977
17,0,117.244362,N/A,21.571840,57.747501,17.212063,0.438084,0.005000,1.173358,mushroom,yes,23.240076,202,0.000000,21.901501,56.660126,17.700001,97.501350
18,0,117.244362,N/A,28.317129,56.220379,17.259254,0.437752,0.005000,1.172590,mushroom,yes,4.287087,189,0.383539,27.670712,55.177471,17.351234,91.095451
19,0,117.244362,N/A,43.342403,46.277645,14.826402,0.436588,0.070004,1.156424,mushroom,yes,-26.531854,146,0.000000,42.400772,46.477119,14.345835,72.219551
20,0,117.244362,N/A,48.811680,42.873928,12.698143,0.484993,0.005000,1.155611,mushroom,yes,14.262626,129,0.000000,48.004894,42.372063,12.939672,64.355042
21,0,117.244362,N/A,18.458935,56.377758,17.574738,0.438822,0.005000,1.156619,mushroom,yes,11.005500,209,0.159675,18.858496,57.464947,17.800001,100.910934
