ID,SECTION-NUMBER,SECTION-LENGTH,BRANCH-ORDER,X,Y,Z,HEAD-DIAMETER,NECK-DIAMETER,MAX-DTS,TYPE,AUTO,XYPLANE-ANGLE,SWC-NODE-ID,SWC-NODE-OFFSET,ATTACH-X,ATTACH-Y,ATTACH-Z,SOMA-DISTANCE
1,1,88.759026,N/A,30.508509,40.060017,17.930819,0.394527,0.005000,1.392977,mushroom,yes,1.547197,135,0.208794,30.278400,38.954060,17.961330,83.669472
10,2,25.738464,N/A,77.800354,39.890598,3.064758,0.370572,0.005000,1.399362,mushroom,yes,43.252797,231,0.102465,78.610397,40.575348,4.062648,41.832775
15,1,88.759026,N/A,57.300285,33.364059,12.071157,0.524580,0.005000,1.255108,mushroom,yes,29.004435,70,0.768289,58.432449,33.726273,12.730182,51.823448
18,1,88.759026,N/A,26.974894,38.398209,16.175507,0.347931,0.005000,1.235812,thin,yes,43.365495,141,0.000000,26.947393,39.320480,17.046991,87.167213
23,1,88.759026,N/A,13.622789,43.629509,16.065584,0.566733,0.005000,1.214361,mushroom,yes,45.599950,175,0.477330,14.187620,44.349426,17.000000,101.270248
25,1,88.759026,N/A,10.820064,45.612679,20.728212,0.358690,0.005000,1.166669,mushroom,yes,-38.504984,185,0.246854,10.844648,46.656734,19.897354,107.278305
26,1,88.759026,N/A,28.868385,40.187977,17.663441,0.532616,0.005000,1.137102,mushroom,yes,-5.031750,138,0.634252,28.850080,39.049179,17.563160,85.188835
28,1,88.759026,N/A,24.221748,41.807663,16.844669,0.506444,0.005000,1.115470,mushroom,yes,-2.956117,152,0.730400,23.627062,40.816517,16.784981,91.002716
29,1,88.759026,N/A,27.901567,40.357487,17.657579,0.269547,0.005000,1.142129,thin,yes,-15.061275,140,0.669448,27.849260,39.098278,17.318439,86.224800
30,1,88.759026,N/A,60.534946,33.147324,11.111800,0.278641,0.005000,1.128675,thin,yes,51.981861,65,0.049117,60.205906,32.405350,12.150001,49.323589
31,1,88.759026,N/A,9.091240,46.684624,21.287001,0.378835,0.005000,1.124877,mushroom,yes,-30.225115,188,0.000000,9.543726,47.584854,20.700001,108.990059
32,0,22.454098,N/A,95.856613,14.642670,6.753902,0.540244,0.005000,1.109900,mushroom,yes,40.735012,6,0.000000,95.347496,13.802410,7.600000,6.749323
33,1,88.759026,N/A,64.380623,29.448711,10.005132,0.199139,0.005000,1.127994,thin,yes,67.520077,58,0.000000,64.462975,29.936245,11.200000,44.277779
34,1,88.759026,N/A,13.855120,45.832989,18.586758,0.609473,0.005000,1.093098,mushroom,yes,-28.850744,179,0.166572,12.931130,45.570110,18.057524,104.074112
35,2,25.738464,N/A,78.703804,41.955299,1.846383,0.235380,0.005000,1.126091,thin,yes,48.394700,236,0.028596,77.918045,42.271027,2.800000,44.221592
36,1,88.759026,N/A,31.949627,39.021397,17.431477,0.324442,0.005000,1.095758,thin,yes,62.603051,132,0.000000,31.569479,38.693600,18.399981,82.446732
37,2,25.738464,N/A,78.818031,41.613621,2.141028,0.271310,0.005000,1.115857,thin,yes,54.440401,235,0.000000,78.066513,41.522514,3.200000,43.798111
38,1,88.759026,N/A,10.518579,45.974937,19.039783,0.297364,0.005000,1.066443,thin,yes,37.038308,184,0.361504,11.120283,46.534527,19.659840,106.618858
39,1,88.759026,N/A,58.489685,32.080990,13.144676,0.170509,0.005000,1.118563,thin,yes,-20.751888,68,0.761085,59.063694,33.115238,12.696486,50.778969
42,1,88.759026,N/A,76.673409,26.540379,10.926000,0.418580,0.005000,1.023594,mushroom,yes,-50.937059,37,0.061730,76.607582,25.869926,10.095945,30.927738
43,1,88.759026,N/A,26.790430,39.625233,15.969889,0.366662,0.005000,1.045250,mushroom,yes,74.325021,142,0.168038,26.627621,39.383247,17.009233,87.528641
45,1,88.759026,N/A,67.928543,27.755104,10.705586,0.296092,0.005000,1.020306,thin,yes,31.885901,51,0.622899,68.572365,28.344288,11.248510,39.632870
46,1,88.759026,N/A,40.153252,40.475384,18.187593,0.300183,0.005000,0.982871,thin,yes,-38.589432,112,0.790580,39.918793,39.825115,17.635988,72.952255
48,1,88.759026,N/A,61.787186,30.549940,10.559114,0.355819,0.005000,1.026386,mushroom,yes,48.341534,62,0.629043,62.371181,31.090572,11.453631,46.725777
49,1,88.759026,N/A,62.078304,32.281883,11.667718,0.482674,0.005000,0.989874,mushroom,yes,-0.943656,63,0.651679,61.678127,31.484827,11.653028,47.492142
50,1,88.759026,N/A,69.361206,27.091846,10.157444,0.346852,0.255891,0.968179,thin,yes,36.864016,48,0.000000,69.846939,27.628136,10.700000,38.057877
52,2,25.738464,N/A,80.219101,38.296345,4.603833,0.394452,0.050000,0.944733,mushroom,yes,38.263877,227,0.843375,79.426880,38.087639,5.250000,39.017605
53,1,88.759026,N/A,46.597530,39.674129,17.083487,0.316668,0.005000,0.986859,thin,yes,-40.080357,96,0.782084,46.229568,38.942116,16.394058,66.152985
54,1,88.759026,N/A,69.017349,27.394085,11.560262,0.462404,0.005000,0.970274,mushroom,yes,-36.829395,50,0.301821,68.988533,28.161421,10.985202,39.188053
55,1,88.759026,N/A,36.384632,38.481579,18.812458,0.484994,0.005000,0.957433,mushroom,yes,-2.322979,119,0.215030,36.887566,39.255547,18.775015,76.784615
56,1,88.759026,N/A,19.188786,43.083961,15.106553,0.269686,0.005000,0.987438,thin,yes,37.966736,164,0.185671,18.542849,42.458008,15.808458,96.713882
57,1,88.759026,N/A,67.451660,29.464771,12.162607,0.364463,0.005000,0.946403,mushroom,yes,-46.448231,53,0.418315,67.056938,28.914179,11.450000,41.245991
58,1,88.759026,N/A,42.614193,39.702385,18.412273,0.341438,0.005000,0.941499,thin,yes,-74.682898,105,0.562305,42.605362,39.965794,17.450001,70.340515
59,0,22.454098,N/A,95.192818,12.330578,8.271367,0.311255,0.005000,0.960020,thin,yes,-33.194990,6,0.914801,96.000168,13.073968,7.553339,5.789471
60,1,88.759026,N/A,18.333849,43.818001,15.774318,0.384838,0.005000,0.950125,mushroom,yes,2.510814,166,0.340433,17.775639,42.878376,15.822243,97.668015
61,1,88.759026,N/A,15.246362,42.924335,16.394840,0.446867,0.005000,0.929019,mushroom,yes,-29.818329,172,0.612025,15.368673,43.645573,15.975575,100.156120
62,1,88.759026,N/A,38.756718,40.603210,17.452457,0.373821,0.084193,0.933897,mushroom,yes,28.252800,115,0.750997,38.753979,39.552605,18.017036,74.248970
63,1,88.759026,N/A,29.080721,39.841484,17.141245,0.357342,0.005000,0.920292,mushroom,yes,27.040277,138,0.664081,28.848680,39.049267,17.562590,85.169052
64,1,88.759026,N/A,26.427769,38.583614,17.244804,0.413755,0.005000,0.914486,mushroom,yes,-14.614150,142,0.150849,26.762308,39.356808,17.025137,87.536110
65,1,88.759026,N/A,43.465004,39.428577,18.297247,0.290157,0.005000,0.931440,thin,yes,-66.295207,102,0.000000,43.450085,39.800278,17.450001,69.375893
66,1,88.759026,N/A,54.497475,34.563274,14.484025,0.277289,0.005000,0.947484,thin,yes,-13.873881,77,0.621887,54.654850,35.623272,14.219345,56.332478
67,1,88.759026,N/A,23.338499,41.698090,17.318451,0.525493,0.005000,0.909999,mushroom,yes,-52.735393,153,0.248901,23.038944,41.224831,16.582277,91.721893
68,1,88.759026,N/A,77.398468,26.565823,9.456249,0.455671,0.383023,0.888922,mushroom,yes,39.127021,36,0.120796,77.258476,25.849339,10.050102,30.175995
69,1,88.759026,N/A,77.780136,25.240034,10.809973,0.414113,0.285539,0.887067,mushroom,yes,-53.106624,36,0.815823,77.769859,25.810408,10.050000,29.694630
70,1,88.759026,N/A,31.440687,39.670616,18.437414,0.268020,0.005000,0.916670,thin,yes,-8.407708,132,0.000000,31.398792,38.741867,18.300001,82.446732
71,1,88.759026,N/A,60.799057,33.133858,12.266147,0.435829,0.005000,0.892502,mushroom,yes,-7.691446,65,0.010643,60.245686,32.375198,12.139327,49.351189
72,1,88.759026,N/A,21.561003,41.850563,15.633411,0.407299,0.005000,0.885503,mushroom,yes,65.168265,156,0.255211,21.550911,41.472832,16.450001,93.210960
73,1,88.759026,N/A,74.091095,27.156479,10.807720,0.371667,0.309975,0.864230,mushroom,yes,-27.981302,41,0.531267,74.068474,26.429033,10.421048,33.609306
74,1,88.759026,N/A,55.872211,36.156853,14.546548,0.354206,0.005000,0.899403,mushroom,yes,-30.381396,75,0.390586,55.540588,35.377499,14.050000,55.412971
75,1,88.759026,N/A,9.547848,48.839298,21.459816,0.337598,0.005000,0.886751,thin,yes,-31.971095,191,0.505223,8.946696,48.259228,20.938396,110.002388
76,1,88.759026,N/A,23.076256,42.288643,16.273762,0.293404,0.005000,0.889285,thin,yes,18.022099,153,0.000000,22.899605,41.301582,16.600000,91.834290
78,1,88.759026,N/A,64.525787,28.864664,11.095748,0.307597,0.005000,0.869820,thin,yes,16.894195,58,0.853400,64.843010,29.759129,11.383986,43.853024
79,1,88.759026,N/A,29.591425,38.392811,17.263201,0.391499,0.005000,0.848431,mushroom,yes,39.721671,137,0.501017,29.720512,39.085205,17.848392,84.699966
80,1,88.759026,N/A,24.198669,39.537449,17.198114,0.213659,0.005000,0.874777,thin,yes,-24.860486,149,0.742085,24.509758,40.338367,16.800001,89.886368
81,1,88.759026,N/A,44.504322,40.717224,16.885126,0.373847,0.005000,0.851780,mushroom,yes,10.210200,100,0.000000,44.299999,39.824917,17.050001,68.428703
82,1,88.759026,N/A,38.605595,38.774857,18.751392,0.304779,0.005000,0.855200,thin,yes,-34.422607,116,0.822676,38.296356,39.552765,18.177719,74.832771
83,1,88.759026,N/A,23.456774,39.651569,16.690666,0.242899,0.005000,0.870471,thin,yes,5.976145,150,0.000000,24.000000,40.543617,16.800001,90.427719
84,1,88.759026,N/A,14.907232,44.837372,17.504869,0.254867,0.102960,0.844872,thin,yes,-30.142920,177,0.929529,14.187620,44.349426,17.000000,102.031654
85,1,88.759026,N/A,65.154869,30.345764,10.799465,0.395087,0.005000,0.839777,mushroom,yes,43.752658,58,0.512159,65.019569,29.702446,11.428840,44.022865
86,1,88.759026,N/A,62.497036,31.266232,10.342905,0.260718,0.005000,0.843579,thin,yes,71.010549,61,0.048933,62.618702,30.925768,11.393550,46.391125
87,2,25.738464,N/A,77.881088,39.657394,4.979346,0.332724,0.005000,0.853218,thin,yes,-28.288770,230,0.441596,78.655846,39.839340,4.551034,40.996357
88,1,88.759026,N/A,29.329584,39.761063,18.282215,0.483375,0.005000,0.827642,mushroom,yes,-36.311028,136,0.000000,29.520885,39.133377,17.800001,84.454651
89,1,88.759026,N/A,22.526388,40.773952,17.241398,0.396946,0.217128,0.806792,mushroom,yes,-47.174577,154,0.511151,22.484110,41.366917,16.600000,92.121017
