ID,SECTION-NUMBER,SECTION-LENGTH,BRANCH-ORDER,X,Y,Z,HEAD-DIAMETER,NECK-DIAMETER,MAX-DTS,TYPE,AUTO,XYPLANE-ANGLE,SWC-NODE-ID,SWC-NODE-OFFSET,ATTACH-X,ATTACH-Y,ATTACH-Z,SOMA-DISTANCE
10,2,49.529549,N/A,63.128994,22.092398,15.782390,0.254259,0.005000,1.442475,thin,yes,51.300071,210,0.000000,63.184452,23.106428,17.050001,41.719322
12,2,49.529549,N/A,48.339931,28.009077,23.767248,0.272246,0.005000,1.420460,thin,yes,-77.010919,245,0.164312,48.336475,28.335972,22.350000,59.605370
14,1,68.007889,N/A,58.835667,46.440521,18.871168,0.217038,0.005000,1.435801,thin,yes,-84.308078,108,0.000000,58.967281,46.558174,17.100000,61.957592
16,2,49.529549,N/A,31.018875,34.459625,30.199821,0.434412,0.005000,1.358735,mushroom,yes,-32.104332,283,0.591160,31.877125,35.082367,29.534536,79.381958
21,2,49.529549,N/A,43.010006,28.859186,25.371307,0.195794,0.005000,1.408166,thin,yes,-25.378938,255,0.460913,43.384892,30.143723,24.736523,64.943649
22,0,30.222662,N/A,75.774078,19.289408,12.877537,0.271161,0.005000,1.346625,thin,yes,71.105899,42,0.564553,75.352066,18.975723,14.413863,27.704317
25,2,49.529549,N/A,56.610497,25.165751,20.385418,0.290370,0.005000,1.308048,thin,yes,-76.405147,224,0.779322,57.009140,25.161160,18.736866,49.188618
28,2,49.529549,N/A,30.684423,35.118217,30.558853,0.310439,0.005000,1.323352,thin,yes,-27.942042,283,0.000000,31.776508,35.471756,29.950001,79.752205
30,1,68.007889,N/A,50.460796,65.558800,15.913952,0.334534,0.005000,1.306988,thin,yes,63.245020,152,0.000000,51.171558,65.421066,17.350000,82.585724
31,2,49.529549,N/A,60.839951,22.801506,18.835361,0.331870,0.005000,1.317149,thin,yes,-55.775466,216,0.490890,61.054935,23.722412,17.445135,44.549156
34,2,49.529549,N/A,57.052795,24.843895,17.502594,0.480074,0.005000,1.226262,mushroom,yes,76.787031,222,0.195164,57.154812,25.109928,18.716135,48.231541
35,2,49.529549,N/A,58.699203,25.360840,18.096617,0.234199,0.005000,1.205760,thin,yes,20.020899,221,0.958952,58.151962,24.605953,18.436359,47.195461
38,2,49.529549,N/A,41.975945,30.082792,24.929512,0.563847,0.005000,1.164064,mushroom,yes,34.240362,258,0.675344,42.369373,30.655632,25.402504,66.277328
39,2,49.529549,N/A,43.168407,31.636692,25.629341,0.280695,0.005000,1.212659,thin,yes,-15.721727,257,0.455568,42.591049,30.591702,25.293268,65.922081
41,1,68.007889,N/A,47.722031,73.015717,16.659161,0.374872,0.005000,1.179843,mushroom,yes,55.326604,174,0.198724,47.197353,72.470619,17.752890,92.452454
42,1,68.007889,N/A,53.405487,58.432575,18.367571,0.372646,0.005000,1.192588,mushroom,yes,-76.555348,135,0.865409,53.167820,58.261444,17.142475,74.823051
43,1,68.007889,N/A,50.419548,67.464859,16.096416,0.169071,0.005000,1.224998,thin,yes,84.690831,158,0.096559,50.537811,67.519875,17.500000,84.876999
44,1,68.007889,N/A,61.311272,44.918495,16.831736,0.238818,0.005000,1.187344,thin,yes,22.095726,102,0.000000,60.319542,44.631458,17.250874,58.893356
45,2,49.529549,N/A,46.765167,27.288836,23.022362,0.471566,0.005000,1.178270,mushroom,yes,-2.146159,247,0.000000,47.011929,28.565718,22.973625,60.454273
46,1,68.007889,N/A,43.275906,77.587860,16.128696,0.413466,0.005000,1.155244,mushroom,yes,34.578320,185,0.255473,44.041653,78.091248,16.760359,98.111923
48,1,68.007889,N/A,44.869541,75.061279,17.596098,0.375737,0.149571,1.081789,mushroom,yes,-54.856191,178,0.000000,45.364834,74.864998,16.839277,94.738571
