ID,SECTION-NUMBER,SECTION-LENGTH,BRANCH-ORDER,X,Y,Z,HEAD-DIAMETER,NECK-DIAMETER,MAX-DTS,TYPE,AUTO,XYPLANE-ANGLE,SWC-NODE-ID,SWC-NODE-OFFSET,ATTACH-X,ATTACH-Y,ATTACH-Z,SOMA-DISTANCE
21,5,73.465958,N/A,74.343193,24.634964,14.858644,0.392469,0.005000,1.824132,mushroom,yes,-81.609388,156,0.000000,74.185547,24.384115,12.850000,42.112305
25,4,19.562183,N/A,95.172729,21.994318,28.286276,0.204604,0.005000,1.799057,thin,yes,-35.974389,94,0.000000,96.612526,22.402491,27.200001,32.616627
26,4,19.562183,N/A,95.459129,20.338039,27.519125,0.146673,0.005000,1.771096,thin,yes,-35.641584,92,0.000000,96.386353,21.593548,26.400000,31.449413
28,3,32.785351,N/A,92.122871,21.511648,16.977806,0.182032,0.005000,1.760444,thin,yes,14.579431,25,0.401222,94.011650,21.479567,17.469143,24.322573
38,3,32.785351,N/A,83.972176,36.104309,25.942707,0.179740,0.005000,1.658197,thin,yes,-88.484959,60,0.916450,83.949432,36.062706,24.150000,44.440239
40,3,32.785351,N/A,85.259827,36.574844,25.365211,0.287625,0.005000,1.610016,thin,yes,-42.567768,56,0.000000,85.178970,35.254292,24.150000,42.908195
51,4,19.562183,N/A,95.234406,21.742374,27.523235,0.220087,0.005000,1.408633,thin,yes,-23.697749,93,0.171947,96.541000,22.060099,26.933029,32.125233
53,3,32.785351,N/A,83.782928,35.534561,25.195101,0.355095,0.005000,1.330164,mushroom,yes,-63.506567,59,0.000000,83.993286,36.016331,24.140423,44.399769
55,5,73.465958,N/A,39.906689,38.072456,12.896865,0.332058,0.005000,1.345349,thin,yes,28.251775,241,0.783231,39.302792,37.053215,13.533482,81.457008
59,5,73.465958,N/A,85.666328,22.870228,12.520360,0.329102,0.005000,1.298026,thin,yes,-13.371623,131,0.118538,85.911140,21.544958,12.200000,30.368862
61,4,19.562183,N/A,96.278656,19.868050,26.103025,0.266219,0.005000,1.295398,thin,yes,-37.431473,90,0.453301,96.810059,20.829899,25.261909,29.889446
63,3,32.785351,N/A,90.156578,25.184471,20.175171,0.316761,0.005000,1.257861,thin,yes,-16.862444,34,0.000000,91.480553,25.597193,19.754818,29.761993
65,3,32.785351,N/A,85.895790,35.977654,24.724417,0.355608,0.005000,1.215668,mushroom,yes,-29.425340,56,0.000000,85.178970,35.254292,24.150000,42.908195
67,5,73.465958,N/A,58.332165,28.662031,13.302040,0.244088,0.005000,1.246782,thin,yes,-8.544277,194,0.663293,58.377232,30.113764,13.083825,60.281876
